book_id,isProcessed
2488,true
2490,true
2491,true
2492,true
2493,true
2494,true
2495,true
2497,true
2498,true
2499,true
2502,true
2503,true
2504,true
2505,true
2506,true
2507,true
2509,true
2512,true
2515,true
2519,true
2521,true
2523,true
2524,true
2529,true
2530,true
2531,true
2532,true
2533,true
2535,true
2537,true
2538,true
2542,true
2544,true
2545,true
2546,true
2547,true
2548,true
2549,true
2550,true
2551,true
2552,true
2555,true
2557,true
2558,true
2559,true
2560,true
2561,true
2562,true
2565,true
2568,true
2569,true
2570,true
2571,true
2576,true
2579,true
2581,true
2583,true
2586,true
2590,true
2591,true
2592,true
2597,true
2600,true
2602,true
2603,true
2604,true
2606,true
2610,true
2611,true
2612,true
2616,true
2617,true
2618,true
2621,true
2622,true
2623,true
2625,true
2626,true
2627,true
2632,true
2635,true
2636,true
2638,true
2639,true
2642,true
2644,true
2645,true
2646,true
2648,true
2649,true
2651,true
2653,true
2654,true
2655,true
2657,true
2658,true
2659,true
2660,true
2661,true
2662,true
2663,true
2664,true
2665,true
2666,true
2667,true
2668,true
2669,true
2670,true
2671,true
2672,true
2673,true
2674,true
2675,true
2676,true
2678,true
2680,true
2681,true
2682,true
2683,true
2685,true
2687,true
2689,true
2690,true
2691,true
2695,true
2696,true
2697,true
2698,true
2699,true
2702,true
2703,true
2704,true
2707,true
2710,true
2713,true
2716,true
2717,true
2718,true
2720,true
2721,true
2723,true
2725,true
2726,true
2727,true
2729,true
2730,true
2731,true
2733,true
2735,true
2737,true
2738,true
2739,true
2741,true
2742,true
2744,true
2745,true
2746,true
2748,true
2750,true
2751,true
2752,true
2753,true
2755,true
2756,true
2757,true
2758,true
2760,true
2762,true
2763,true
2764,true
2770,true
2771,true
2772,true
2774,true
2777,true
2778,true
2779,true
2780,true
2782,true
2785,true
2786,true
2787,true
2788,true
2789,true
2791,true
2792,true
2793,true
2794,true
2795,true
2796,true
2797,true
2798,true
2799,true
2800,true
2802,true
2803,true
2806,true
2807,true
2808,true
2810,true
2811,true
2812,true
2813,true
2814,true
2815,true
2816,true
2817,true
2818,true
2819,true
2820,true
2821,true
2822,true
2823,true
2824,true
2826,true
2828,true
2829,true
2830,true
2833,true
2834,true
2835,true
2836,true
2837,true
2838,true
2839,true
2840,true
2841,true
2842,true
2843,true
2845,true
2846,true
2848,true
2849,true
2850,true
2852,true
2854,true
2855,true
2856,true
2857,true
2858,true
2859,true
2860,true
2861,true
2862,true
2869,true
2871,true
2874,true
2875,true
2877,true
2878,true
2880,true
2882,true
2883,true
2886,true
2887,true
2889,true
2890,true
2891,true
2892,true
2893,true
2894,true
2895,true
2896,true
2898,true
2899,true
2901,true
2904,true
2905,true
2906,true
2907,true
2908,true
2909,true
2910,true
2911,true
2912,true
2914,true
2915,true
2916,true
2917,true
2918,true
2919,true
2920,true
2922,true
2925,true
2929,true
2930,true
2931,true
2933,true
2934,true
2936,true
2937,true
2938,true
2939,true
2940,true
2941,true
2942,true
2943,true
2945,true
2947,true
2948,true
2950,true
2952,true
2953,true
2954,true
2955,true
2956,true
2957,true
2958,true
2959,true
2961,true
2962,true
2963,true
2964,true
2967,true
2968,true
2969,true
2970,true
2971,true
2972,true
2974,true
2976,true
2978,true
2981,true
2982,true
2983,true
2984,true
2986,true
2987,true
2988,true
2989,true
2990,true
2992,true
2993,true
2994,true
2995,true
2996,true
2997,true
3000,true
3001,true
3004,true
3005,true
3006,true
3007,true
3009,true
3010,true
3011,true
3012,true
3013,true
3014,true
3015,true
3016,true
3017,true
3018,true
3019,true
3021,true
3022,true
3023,true
3024,true
3025,true
3026,true
3027,true
3029,true
3033,true
3034,true
3035,true
3036,true
3037,true
3039,true
3040,true
3042,true
3043,true
3045,true
3046,true
3047,true
3048,true
3049,true
3050,true
3051,true
3052,true
3053,true
3054,true
3055,true
3056,true
3057,true
3058,true
3060,true
3061,true
3062,true
3063,true
3064,true
3065,true
3066,true
3067,true
3070,true
3071,true
3072,true
3074,true
3076,true
3077,true
3079,true
3081,true
3082,true
3083,true
3085,true
3086,true
3088,true
3089,true
3091,true
3093,true
3094,true
3095,true
3096,true
3097,true
3098,true
3100,true
3103,true
3104,true
3105,true
3107,true
3108,true
3109,true
3110,true
3113,true
3114,true
3115,true
3116,true
3118,true
3120,true
3122,true
3125,true
3127,true
3129,true
3130,true
3131,true
3132,true
3133,true
3134,true
3136,true
3137,true
3138,true
3140,true
3141,true
3142,true
3144,true
3145,true
3146,true
3149,true
3151,true
3152,true
3153,true
3154,true
3155,true
3156,true
3158,true
3159,true
3160,true
3162,true
3163,true
3164,true
3166,true
3167,true
3168,true
3169,true
3170,true
3172,true
3173,true
3174,true
3175,true
3176,true
3177,true
3178,true
3179,true
3180,true
3181,true
3182,true
3186,true
3187,true
3192,true
3194,true
3195,true
3196,true
3197,true
3198,true
3200,true
3201,true
3202,true
3203,true
3205,true
3208,true
3209,true
3210,true
3213,true
3215,true
3217,true
3218,true
3219,true
3221,true
3225,true
